time,s1.x,s1.y,s2.x,s2.y,scom.x,scom.y,v1.x,v1.y,v2.x,v2.y,vcom.x,vcom.y,p1.x,p1.y,p2.x,p2.y,p.x,p.y,w1,w2,L1,L2,L,E1,E2,E
0.038000,0.038010,0.010000,0.423980,0.000000,0.231000,0.005000,1.000000,0.000000,-2.000000,0.000000,-0.500000,0.000000,0.025400,0.000000,-0.050800,0.000000,-0.025400,0.000000,3.000000,-5.000000,-0.000226,-0.000046,-0.000273,0.012742,0.050916,0.063658
0.039000,0.039010,0.010000,0.421980,0.000000,0.230500,0.005000,1.000000,0.000000,-2.000000,0.000000,-0.500000,0.000000,0.025400,0.000000,-0.050800,0.000000,-0.025400,0.000000,3.000000,-5.000000,-0.000226,-0.000046,-0.000273,0.012742,0.050916,0.063658
0.040000,0.040010,0.010000,0.419980,0.000000,0.230000,0.005000,1.000000,0.000000,-2.000000,0.000000,-0.500000,0.000000,0.025400,0.000000,-0.050800,0.000000,-0.025400,0.000000,3.000000,-5.000000,-0.000226,-0.000046,-0.000273,0.012742,0.050916,0.063658
0.041000,0.041010,0.010000,0.417980,0.000000,0.229500,0.005000,1.000000,0.000000,-2.000000,0.000000,-0.500000,0.000000,0.025400,0.000000,-0.050800,0.000000,-0.025400,0.000000,3.000000,-5.000000,-0.000226,-0.000046,-0.000273,0.012742,0.050916,0.063658
0.042000,0.042010,0.010000,0.415980,0.000000,0.229000,0.005000,1.000000,0.000000,-2.000000,0.000000,-0.500000,0.000000,0.025400,0.000000,-0.050800,0.000000,-0.025400,0.000000,3.000000,-5.000000,-0.000226,-0.000046,-0.000273,0.012742,0.050916,0.063658
0.043000,0.043010,0.010000,0.413980,0.000000,0.228500,0.005000,1.000000,0.000000,-2.000000,0.000000,-0.500000,0.000000,0.025400,0.000000,-0.050800,0.000000,-0.025400,0.000000,3.000000,-5.000000,-0.000226,-0.000046,-0.000273,0.012742,0.050916,0.063658
0.044000,0.044010,0.010000,0.411980,0.000000,0.228000,0.005000,1.000000,0.000000,-2.000000,0.000000,-0.500000,0.000000,0.025400,0.000000,-0.050800,0.000000,-0.025400,0.000000,3.000000,-5.000000,-0.000226,-0.000046,-0.000273,0.012742,0.050916,0.063658
0.045000,0.045010,0.010000,0.409980,0.000000,0.227500,0.005000,1.000000,0.000000,-2.000000,0.000000,-0.500000,0.000000,0.025400,0.000000,-0.050800,0.000000,-0.025400,0.000000,3.000000,-5.000000,-0.000226,-0.000046,-0.000273,0.012742,0.050916,0.063658
0.046000,0.046010,0.010000,0.407980,0.000000,0.227000,0.005000,1.000000,0.000000,-2.000000,0.000000,-0.500000,0.000000,0.025400,0.000000,-0.050800,0.000000,-0.025400,0.000000,3.000000,-5.000000,-0.000226,-0.000046,-0.000273,0.012742,0.050916,0.063658
0.047000,0.047010,0.010000,0.405980,0.000000,0.226500,0.005000,1.000000,0.000000,-2.000000,0.000000,-0.500000,0.000000,0.025400,0.000000,-0.050800,0.000000,-0.025400,0.000000,3.000000,-5.000000,-0.000226,-0.000046,-0.000273,0.012742,0.050916,0.063658
